CD45,CD3,CD8,CD4,CD20,CD68,CD11c,MPO,Pan-Keratin,Beta catenin,Keratin17,Vimentin,SMA,CD31,FoxP3,HLA-DR,celltype,SampleID
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.1123,0.3372,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,7
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3714,-0.3597,-0.139,-0.5371,-0.3814,-0.2738,0.1729,-0.378,-0.167,-0.0763,-0.6715,Tumor,2
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.0014,0.5449,3.4833,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,6
0.181,0.0221,2.177,-0.0081,-0.3554,-0.1481,-0.3597,-0.139,-0.5577,-0.8456,-0.2738,1.174,-0.252,-0.167,-0.0763,0.2396,CD8 T cell,13
-0.1106,-0.4458,-0.374,-0.3754,-0.3554,1.753,-0.3597,-0.139,-0.5577,-0.8456,-0.2738,0.3733,-0.378,-0.167,-0.0763,1.0276,Macrophage,3
0.8328,0.0695,0.8628,-0.3754,-0.3554,6.5002,-0.3597,-0.139,-0.5577,-0.8456,-0.2738,1.4672,-0.378,-0.167,-0.0763,0.2575,Macrophage,13
0.0218,-0.4458,0.3222,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.1972,-0.8456,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Other immune,34
-0.6101,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.3984,-0.8456,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,1
0.3351,0.5826,4.1061,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,1.5621,-0.2738,1.5378,-0.378,-0.167,-0.0763,-0.6715,CD8 T cell,14
2.007,1.9666,1.2746,2.3338,3.222,1.6698,2.2135,-0.139,-0.5577,-0.8456,-0.2738,1.2245,-0.378,-0.167,-0.0763,2.3108,CD4 T cell,32
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,1.4987,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,26
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.9194,1.4151,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,27
1.6002,-0.4458,-0.374,-0.3754,4.8375,-0.3742,-0.3597,-0.139,-0.5577,-0.8456,-0.2738,-0.822,-0.378,-0.167,-0.0763,4.2417,B cell,1
-0.3927,-0.4458,-0.374,-0.3754,-0.3554,-0.0272,-0.3597,-0.139,1.4823,-0.771,-0.1868,0.9296,-0.355,-0.167,-0.0763,-0.02,Tumor,38
-0.7438,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,1.0733,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,20
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,1.7861,1.7013,7.9366,-0.822,-0.378,-0.167,-0.0763,-0.4724,Tumor,24
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,1.5772,1.9224,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,16
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.0859,-0.2738,1.8926,0.7377,-0.167,-0.0763,-0.6715,Mesenchymal,36
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,1.5529,0.9382,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,27
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.1243,1.2325,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,27
1.097,1.4833,4.088,-0.3039,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.8456,-0.2738,1.786,-0.378,-0.167,-0.0763,-0.4848,CD8 T cell,13
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.4689,0.8284,-0.2738,0.7966,-0.378,-0.167,-0.0763,-0.6715,Tumor,8
-0.0589,-0.2716,-0.2211,-0.1966,-0.3554,0.6561,0.1148,-0.139,-0.1175,-0.8456,-0.2738,-0.0505,-0.378,-0.0331,-0.0763,-0.2876,Macrophage,12
-0.669,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,1.3623,1.1838,1.0466,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,35
0.5209,-0.188,-0.374,-0.3754,-0.3554,3.2285,1.8248,2.2503,-0.5577,0.6598,-0.2738,0.3411,0.081,-0.167,-0.0763,0.4214,Macrophage,41
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.1981,0.896,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,27
-0.6281,-0.4458,-0.374,-0.3754,-0.3554,-0.0869,-0.1573,-0.139,-0.3658,-0.0133,-0.2738,1.2501,1.9394,-0.167,-0.0763,-0.2976,Tumor,13
-0.5206,-0.4292,-0.374,-0.3754,-0.3554,-0.0126,-0.3597,-0.139,0.2276,-0.8456,-0.2738,-0.822,-0.378,-0.167,-0.0763,0.08,Tumor,1
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.4251,-0.2115,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,8
-0.5746,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.0884,3.5396,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,31
0.5296,0.1769,2.0064,-0.3754,-0.3554,0.0465,-0.3597,-0.139,-0.33,-0.0088,-0.2738,-0.3184,0.0045,-0.167,-0.0763,-0.3827,CD8 T cell,36
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.0264,1.2614,-0.2738,1.8156,1.3007,2.5,-0.0763,-0.6715,Tumor,31
-0.5844,-0.4099,0.0977,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,0.0353,-0.2738,1.7082,2.4187,-0.167,-0.0763,-0.6715,Mesenchymal,29
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,0.4374,0.1671,-0.822,-0.378,-0.167,-0.0763,-0.5511,Tumor,4
2.0611,3.3576,2.3531,1.4878,-0.3554,-0.171,-0.2276,-0.139,-0.5577,-0.8456,-0.2738,1.379,-0.378,-0.167,-0.0763,1.827,CD8 T cell,37
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.2594,-0.8072,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,18
0.0061,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.4134,1.6398,3.5507,-0.822,-0.378,-0.167,-0.0763,0.0918,Tumor,6
0.8526,-0.164,1.2764,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.407,-0.2208,-0.2738,-0.7761,-0.378,4.1891,-0.0763,0.0051,CD8 T cell,37
0.8722,0.761,3.6483,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,4.015,0.365,-0.2738,1.0342,-0.378,-0.167,-0.0763,-0.6715,CD8 T cell,33
0.253,-0.1769,0.0428,0.0386,-0.3554,-0.3742,1.2526,-0.139,-0.5577,-0.8456,-0.2738,-0.822,-0.378,-0.167,-0.0763,1.2379,Dendritic cell,16
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.316,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,26
-0.7772,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3045,-0.139,-0.5577,-0.8456,-0.2738,-0.0111,-0.378,1.0301,-0.0763,-0.4815,Endothelial,27
1.034,-0.4458,-0.374,-0.3616,-0.3554,-0.3618,-0.3178,14.098,-0.5577,0.7356,-0.2738,2.1218,1.6366,1.3604,-0.0763,-0.6683,Neutrophil,11
0.0062,-0.1516,-0.374,-0.3538,-0.3554,-0.3548,0.4894,-0.139,-0.5577,-0.8456,-0.2738,-0.2164,0.7322,-0.167,-0.0763,-0.6616,Neutrophil,41
-0.7933,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.3651,1.2259,-0.2738,-0.822,-0.378,-0.167,-0.0763,1.3273,Tumor,9
1.191,0.9335,-0.0727,0.7179,-0.3554,-0.3331,0.6245,-0.139,-0.1889,-0.8456,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.5935,NK cell,16
0.9976,0.3074,-0.2736,-0.1701,2.399,-0.3742,-0.3597,-0.139,-0.5577,-0.8456,-0.2738,-0.7277,-0.378,-0.167,-0.0763,1.5976,B cell,35
-0.6614,-0.395,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.8456,-0.2738,0.8638,2.3858,-0.167,-0.0763,-0.6715,Mesenchymal,6
-0.116,-0.2557,0.6523,-0.3754,-0.3554,-0.1606,-0.3597,-0.139,-0.5577,-0.8456,-0.2738,-0.7578,-0.378,15.419,-0.0763,-0.6007,CD8 T cell,5
-0.1824,-0.4458,-0.374,-0.3754,-0.3554,2.5066,2.1786,-0.139,-0.5577,-0.7045,-0.2738,1.6206,-0.378,-0.167,-0.0763,1.1309,Macrophage,4
2.7298,0.7594,-0.374,3.1846,4.3234,-0.3742,-0.3071,-0.139,-0.5577,-0.8456,-0.2738,-0.649,-0.378,-0.167,-0.0763,3.0602,CD4 T cell,28
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.721,-0.8456,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,22
1.8212,1.5627,1.0964,2.4795,-0.3554,-0.3742,0.1068,-0.139,-0.5577,-0.8456,-0.2738,0.2888,-0.378,-0.167,-0.0763,2.6434,CD4 T cell,35
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.6447,-0.2738,-0.5596,-0.378,-0.167,-0.0763,-0.6715,Tumor,26
-0.5841,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,2.252,3.9193,2.5644,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,31
-0.2204,-0.1641,-0.374,0.4692,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.1512,-0.2738,2.1839,4.3049,1.9097,-0.0763,-0.632,Tumor,17
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,2.3425,0.4067,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,28
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.2269,-0.3632,3.6699,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,24
2.1186,2.2751,0.5477,2.2425,1.0196,4.5701,3.5608,-0.139,-0.5577,-0.8456,-0.2738,1.9032,0.2186,-0.167,-0.0763,0.9385,Macrophage,17
-0.2934,-0.4458,-0.374,-0.3754,-0.3554,-0.0459,-0.3597,-0.139,-0.5577,-0.8456,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.4661,Macrophage,5
0.6784,0.0254,-0.374,0.8974,-0.3554,-0.2896,0.7975,-0.139,-0.5577,-0.4133,-0.2738,1.7965,0.137,-0.167,-0.0763,-0.3305,Neutrophil,9
0.0084,0.3971,0.5193,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.3768,-0.0796,-0.2738,0.1482,-0.378,-0.167,-0.0763,-0.1367,Tumor,10
0.9039,1.1249,2.178,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.8456,-0.2738,0.4964,0.1051,-0.167,-0.0763,-0.4394,CD8 T cell,37
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,0.1345,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,19
